session	condition	response	item	baseline
2	Cued	3.0	1112	-0.1041666666666665
2	Cued	3.0	1300	-0.1041666666666665
2	Cued	2.0	1930	-1.1041666666666663
2	Cued	2.0	2095	-0.1041666666666665
2	Cued	3.0	2717	-0.1041666666666665
2	Cued	2.0	2800	-1.1041666666666663
2	Cued	4.0	3016	0.8958333333333335
2	Cued	5.0	3051	0.8958333333333335
2	Cued	4.0	3170	1.8958333333333333
2	Cued	2.0	3210	-1.1041666666666663
2	Cued	2.0	3215	0.8958333333333335
2	Cued	5.0	3225	0.8958333333333335
2	Cued	3.0	3301	-0.1041666666666665
2	Cued	3.0	6242	-0.1041666666666665
2	Cued	4.0	6560	-0.1041666666666665
2	Cued	3.0	9050	-1.1041666666666663
2	Cued	2.0	9230	-1.1041666666666663
2	Cued	5.0	9253	1.8958333333333333
2	Cued	3.0	9254	-0.1041666666666665
2	Cued	5.0	9410	1.8958333333333333
2	Cued	2.0	9429	-1.1041666666666663
2	Cued	4.0	9571	0.8958333333333335
2	Cued	3.0	9630	-1.1041666666666663
2	Cued	2.0	9800	-1.1041666666666663
3	Cued	2.0	1112	-0.1041666666666665
3	Cued	3.0	1300	-0.1041666666666665
3	Cued	2.0	1930	-1.1041666666666663
3	Cued	1.0	2095	-0.1041666666666665
3	Cued	3.0	2717	-0.1041666666666665
3	Cued	1.0	2800	-1.1041666666666663
3	Cued	4.0	3016	0.8958333333333335
3	Cued	4.0	3051	0.8958333333333335
3	Cued	4.0	3170	1.8958333333333333
3	Cued	2.0	3210	-1.1041666666666663
3	Cued	5.0	3215	0.8958333333333335
3	Cued	4.0	3225	0.8958333333333335
3	Cued	4.0	3301	-0.1041666666666665
3	Cued	2.0	6242	-0.1041666666666665
3	Cued	4.0	6560	-0.1041666666666665
3	Cued	2.0	9050	-1.1041666666666663
3	Cued	3.0	9230	-1.1041666666666663
3	Cued	3.0	9253	1.8958333333333333
3	Cued	2.0	9254	-0.1041666666666665
3	Cued	4.0	9410	1.8958333333333333
3	Cued	2.0	9429	-1.1041666666666663
3	Cued	3.0	9571	0.8958333333333335
3	Cued	2.0	9630	-1.1041666666666663
3	Cued	1.0	9800	-1.1041666666666663
2	Uncued	2.0	2799	-2.1041666666666665
2	Uncued	5.0	3068	1.8958333333333333
2	Uncued	2.0	3230	-2.1041666666666665
2	Uncued	5.0	3261	0.8958333333333335
2	Uncued	2.0	6000	-1.1041666666666663
2	Uncued	3.0	6021	1.8958333333333333
2	Uncued	4.0	6315	0.8958333333333335
2	Uncued	3.0	6550	-0.1041666666666665
2	Uncued	2.0	6834	-1.1041666666666663
2	Uncued	4.0	8485	-0.1041666666666665
2	Uncued	1.0	9000	-2.1041666666666665
2	Uncued	2.0	9041	-0.1041666666666665
2	Uncued	3.0	9252	0.8958333333333335
2	Uncued	4.0	9301	0.8958333333333335
2	Uncued	2.0	9320	0.8958333333333335
2	Uncued	5.0	9405	0.8958333333333335
2	Uncued	4.0	9420	1.8958333333333333
2	Uncued	3.0	9423	-0.1041666666666665
2	Uncued	3.0	9424	-0.1041666666666665
2	Uncued	3.0	9425	-1.1041666666666663
2	Uncued	3.0	9582	-0.1041666666666665
2	Uncued	2.0	9622	-0.1041666666666665
2	Uncued	3.0	9900	-1.1041666666666663
2	Uncued	3.0	9921	-0.1041666666666665
3	Uncued	1.0	2799	-2.1041666666666665
3	Uncued	5.0	3068	1.8958333333333333
3	Uncued	2.0	3230	-2.1041666666666665
3	Uncued	4.0	3261	0.8958333333333335
3	Uncued	1.0	6000	-1.1041666666666663
3	Uncued	3.0	6021	1.8958333333333333
3	Uncued	4.0	6315	0.8958333333333335
3	Uncued	3.0	6550	-0.1041666666666665
3	Uncued	2.0	6834	-1.1041666666666663
3	Uncued	3.0	8485	-0.1041666666666665
3	Uncued	1.0	9000	-2.1041666666666665
3	Uncued	3.0	9041	-0.1041666666666665
3	Uncued	4.0	9252	0.8958333333333335
3	Uncued	4.0	9301	0.8958333333333335
3	Uncued	2.0	9320	0.8958333333333335
3	Uncued	4.0	9405	0.8958333333333335
3	Uncued	3.0	9420	1.8958333333333333
3	Uncued	3.0	9423	-0.1041666666666665
3	Uncued	2.0	9424	-0.1041666666666665
3	Uncued	4.0	9425	-1.1041666666666663
3	Uncued	3.0	9582	-0.1041666666666665
3	Uncued	2.0	9622	-0.1041666666666665
3	Uncued	2.0	9900	-1.1041666666666663
3	Uncued	3.0	9921	-0.1041666666666665
